date,context,feels
<<<<<<< HEAD
2025-05-12,집가랠,😡
=======
2025-04-01,4월 1일이다. 행복하다,🙂
2025-04-02,4월 2일이다. 즐겁다,🙂
2025-04-03,4월 3일이다. 우울하다,🙂
2025-04-04,4월 4일이다. 화난다.,🙂
2025-04-05,4월 5일이다. 행복하다.,🙂
2025-04-06,4월 6일이다. 즐겁다,🙂
2025-04-07,4월 7일이다. 우울하다,🙂
2025-04-08,4월 8일이다. 화난다.,🙂
2025-04-09,4월 9일이다. 행복하다.,🙂
2025-04-10,4월 10일이다. 즐겁다,🙂
2025-04-11,4월 11일이다. 즐겁다,🙂
2025-04-12,4월 12일이다. 행복하다.,🙂
2025-04-13,4월 13일이다. 화난다.,🙂
2025-04-14,4월 14일이다. 우울하다,🙂
2025-04-15,4월 15일이다. 행복하다.,🙂
2025-04-16,4월 16일이다. 즐겁다,🙂
2025-04-17,4월 17일이다. 즐겁다,🙂
2025-04-18,4월 18일이다. 화난다.,🙂
2025-04-19,4월 19일이다. 화난다.,🙂
2025-04-20,4월 20일이다. 우울하다,🙂
2025-04-21,4월 21일이다. 화난다.,🙂
2025-04-22,4월 22일이다. 화난다.,🙂
2025-04-23,4월 23일이다. 화난다.,🙂
2025-04-24,4월 24일이다. 행복하다.,🙂
2025-04-25,4월 25일이다. 우울하다,🙂
2025-04-26,4월 26일이다. 즐겁다,🙂
2025-04-27,4월 27일이다. 우울하다,🙂
2025-04-28,4월 28일이다. 화난다.,🙂
2025-04-29,4월 29일이다. 행복하다.,🙂
2025-04-30,4월 30일이다. 화난다.,🙂
2025-05-01,5월 1일이다. 우울하다,🙂
2025-05-02,5월 2일이다. 즐겁다,🙂
2025-05-03,5월 3일이다. 화난다.,🙂
2025-05-04,5월 4일이다. 행복하다.,🙂
2025-05-05,5월 5일이다. 우울하다,🙂
2025-05-06,5월 6일이다. 즐겁다,🙂
2025-05-07,5월 7일이다. 화난다.,🙂
2025-05-08,5월 8일이다. 행복하다.,🙂
2025-05-09,5월 9일이다. 우울하다,🙂
2025-05-10,5월 10일이다. 행복하다.,🙂
2025-05-11,5월 11일이다. 즐겁다,🙂
2025-05-12,5월 12일이다. 화난다.,🙂

>>>>>>> f8cfd541d745436f0d534c5cdab2eeb452875662
